Address,Frequency
1.160.40.155,4
115.71.5.5,20
74.125.130.27,1
108.177.96.26,2
211.149.172.105,15
1.162.237.96,6
106.75.81.110,8
103.242.111.191,8
23.254.215.144,3
46.183.217.162,164
124.217.255.37,10
141.212.122.208,9
83.219.146.68,1174
110.142.34.79,11808
101.78.231.28,243
202.166.173.171,654
111.251.106.183,6
185.35.63.152,2
111.251.101.171,8
50.250.224.226,5
128.65.193.112,134
195.97.55.164,7027
201.140.215.1,1252
207.58.170.176,8
89.22.52.1,644
50.197.3.138,201
111.251.90.167,8
31.207.47.30,10
219.80.3.19,11807
83.101.136.42,11787
217.193.142.182,25
94.102.49.190,8
1.162.175.94,6
46.183.223.239,124
24.54.48.245,8315
124.66.172.46,4
59.189.75.23,5
1.160.40.222,6
37.11.11.245,8
111.251.100.27,14
89.248.171.31,5
179.104.47.125,302
117.27.158.119,5
111.251.107.240,6
144.217.211.216,867
111.251.106.4,6
116.236.1.6,2268
106.248.233.212,464
27.38.21.210,3
90.188.42.137,5
185.29.8.196,80
23.75.189.59,1
185.35.63.119,2
177.239.241.168,6
74.125.23.27,1
169.54.233.117,4
111.251.103.213,6
221.126.229.173,1807
213.79.122.137,8
174.147.130.46,161
173.65.52.222,12
80.82.78.170,102
94.102.56.181,13108
192.163.203.186,26
111.251.108.41,6
91.98.35.140,71
201.161.16.51,4049
1.162.174.37,8
1.162.233.98,6
111.249.33.240,4
71.6.135.131,3
89.216.104.92,242
46.130.147.174,806
203.156.163.35,10
190.105.235.80,9
71.6.146.186,4
54.234.192.45,4
46.183.220.137,130
104.131.9.168,33
185.160.94.31,7
203.184.176.147,2519
111.251.106.50,6
46.183.220.139,130
208.77.44.169,563
66.135.48.121,26
66.240.219.146,10
34.146.151.203,239
1.214.208.226,7822
27.254.216.41,237
178.222.249.29,2982
111.251.95.46,4
179.43.144.37,5
111.251.103.17,6
185.136.112.11,10
46.183.220.138,116
104.236.161.132,4
84.38.130.51,36
156.67.106.244,16112
202.55.82.226,682
141.212.122.209,3
1.162.170.213,6
91.184.224.103,4672
1.162.171.5,4
1.160.42.148,4
64.233.189.26,2
175.156.106.62,5
46.172.66.124,14
7.204.170.217,8
107.170.236.23,6
188.165.203.118,67
141.212.122.176,7
178.57.100.53,8
212.34.136.19,8
82.223.65.154,403
64.233.189.27,1
1.162.237.153,6
169.56.71.41,4
94.102.48.195,5
190.210.117.212,303
80.82.78.188,6
124.158.8.231,10
66.240.192.138,8
169.54.244.93,6
146.60.86.177,4
52.53.213.215,4
89.248.160.150,5
46.183.217.169,122
166.78.24.218,18
114.80.253.56,85
54.67.73.232,6
202.62.88.81,157
64.21.112.200,10
62.106.156.175,1
91.140.138.23,40
37.252.1.162,16
169.54.244.82,4
202.179.190.67,2980
1.162.237.3,8
84.38.130.58,36
118.41.230.55,8
212.34.144.12,5
84.53.211.75,9
74.125.23.26,1
88.85.171.103,12
202.170.70.8,1006
211.214.161.183,18
211.90.16.165,3
156.67.106.211,16
111.251.104.248,6
217.170.204.7,10
31.169.66.45,1493
139.162.150.126,29
46.32.239.54,25
79.173.252.192,301
185.29.11.202,32
111.251.105.40,6
159.203.114.223,10
185.29.9.135,146
83.221.132.91,10
74.125.130.26,1
195.22.8.234,94
218.186.195.135,5
195.22.126.189,1316
211.168.88.139,11803
92.50.33.106,122
185.142.212.204,13
182.71.241.247,3118
46.183.217.165,110
122.224.153.122,3
218.38.243.204,250
46.105.107.107,9
180.97.238.86,5
91.134.167.153,10
212.48.88.228,13
1.162.171.12,4
114.130.4.61,15
185.88.229.245,121
104.236.178.161,4
80.82.65.150,24
62.148.163.233,9
1.160.42.28,4
84.38.130.57,36
190.10.47.53,367
113.64.235.50,3309
47.89.27.62,9
1.162.238.235,8
89.219.33.110,8
123.242.172.3,11654
181.27.61.229,10
1.162.234.26,6
74.125.68.26,2
135.195.186.218,1
66.196.48.61,9
118.161.245.185,6
198.20.69.98,8
111.251.101.118,8
139.162.169.242,27
181.29.252.122,599
71.6.146.185,10
5.9.84.214,49
81.82.209.236,11789
247.241.71.182,618
107.22.46.108,5
92.218.175.188,2
111.251.101.144,6
74.125.200.26,1
220.137.5.199,6
84.38.130.59,36
111.251.99.142,4
178.236.148.112,9
1.160.42.93,4
87.236.232.36,17462
1.162.233.198,4
162.247.97.86,10
208.100.26.235,3
115.186.243.60,41
185.29.8.198,148
1.162.169.57,8
93.174.93.18,5417
74.125.68.27,2
94.247.31.181,10
77.121.14.122,244
171.244.17.235,11801
